,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0,12582.0
mean,0.24791702432045779,229.24502781751713,0.8169174217135591,43.18780797965347,0.23507375615959308,228.40535765379113,0.8133942139564457,44.55960896518837,0.2390839294229852,229.25020902877125,0.8506333651247814,27.917819106660307,0.14587410586552216,228.40709108249882,0.7978248291209664,45.8688602765856,0.25409918931807346
std,0.06919990899048521,0.8053391769375744,0.027548633501253268,10.23408250007782,0.06240101584125963,0.8083400490452911,0.030949860478934766,10.268917331675278,0.06422192303769045,0.8148718789964863,0.0030116446409456307,0.4667656774253522,0.002242024497800849,0.800983187549589,0.024184701019523715,12.891948588310987,0.07156590153000245
min,0.147,226.91,0.768,28.0,0.147,226.08,0.758,29.0,0.147,226.69,0.839,27.0,0.141,225.96,0.748,26.0,0.152
25%,0.164,228.59,0.787,31.0,0.161,227.78,0.78,32.0,0.162,228.59,0.848,28.0,0.144,227.75,0.779,30.0,0.166
50%,0.245,229.2,0.828,42.0,0.226,228.365,0.824,45.0,0.235,229.19,0.851,28.0,0.146,228.36,0.791,48.0,0.254
75%,0.323,229.92,0.844,54.0,0.304,229.07,0.844,55.0,0.308,229.9,0.853,28.0,0.148,229.09,0.826,59.0,0.33
max,0.359,231.57,0.853,57.0,0.328,230.73,0.854,59.0,0.337,231.6,0.858,30.0,0.157,230.71,0.848,63.0,0.361
