,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0
mean,1633528145.0311773,49.932533736621686,112.87987203350394,0.0,0.0,0.0,0.0,55.47553978594695,229.4143275942299,0.8166037691949743,45.78199162401117,0.2479143787808283,228.5775244299674,0.8113734295020941,49.93601675197766,0.267554909260121,229.4327408096789,0.8157152163797116,46.47370870172173,0.25195905072126573,228.5662912982783,0.8112619823173569,48.12214983713355,0.2578434155421126,229.4296277338297,0.8049118194509074,48.09655653792461,0.2644657980456026,228.5828594695207,0.7566186598417869,26.04211261051652,0.1535912052117264
std,1795.4449298485163,49.51312809813922,180.81045280828144,0.0,0.0,0.0,0.0,138.83041887255135,1.0203245828189704,0.024130830949493167,7.395989298494415,0.04607369437469575,1.0122401533139829,0.027113581444203776,7.839164676003378,0.05011827189653443,1.0244775158193353,0.021376667951497452,7.693807735365346,0.04698400837310042,1.0155568469567036,0.026119482570910266,7.996841233140325,0.050301968343561265,1.0121145642534108,0.021654379846309385,8.782969126042508,0.05236695293254871,1.0279723254832356,0.004715503657652209,0.2132331525712709,0.0007779763998990724
min,1633525020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.06,0.777,28.0,0.143,225.56,0.766,29.0,0.145,226.57,0.778,28.0,0.146,226.08,0.77,29.0,0.147,227.14,0.785,26.0,0.139,226.23,0.745,25.0,0.151
25%,1633526580.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.73,0.791,41.0,0.213,227.9,0.784,45.0,0.232,228.74,0.795,41.0,0.217,227.86,0.785,43.0,0.225,228.72,0.79,49.0,0.269,227.89,0.753,26.0,0.153
50%,1633528169.5,97.06,0.0,0.0,0.0,0.0,0.0,0.0,229.5,0.821,47.0,0.252,228.65,0.812,51.0,0.269,229.53,0.811,50.0,0.269,228.68,0.8,51.0,0.277,229.52,0.794,53.0,0.293,228.69,0.756,26.0,0.154
75%,1633529695.5,100.0,394.12,0.0,0.0,0.0,0.0,0.0,230.09,0.839,53.0,0.295,229.21,0.836,58.0,0.317,230.07,0.835,54.0,0.298,229.21,0.834,56.0,0.307,230.09,0.808,53.0,0.296,229.24,0.76,26.0,0.154
max,1633531231.0,103.03,409.09,0.0,0.0,0.0,0.0,406.06,232.4,0.855,56.0,0.315,231.55,0.859,60.0,0.34,232.45,0.853,56.0,0.316,231.51,0.856,58.0,0.325,232.25,0.86,54.0,0.298,231.58,0.77,27.0,0.156
