,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0,4298.0
mean,1633528283.3617961,48.836165658445786,118.49638203815728,0.0,0.0,0.0,0.0,55.410595625872496,229.3873080502559,0.8164557933922755,45.85411819450908,0.24839134481154027,228.5514727780363,0.8113927408096789,50.07119590507212,0.268230107026524,229.40847138203816,0.8159725453699396,46.528385295486274,0.25214285714285717,228.54354816193577,0.811320614239181,48.29688227082364,0.25867170777105636,229.4076454164728,0.8045039553280595,48.4004187994416,0.2661630991158679,228.55805490926014,0.7568043275942299,26.05839925546766,0.1536135411819451
std,1797.1372538422127,49.518190435345765,183.53953803453834,0.0,0.0,0.0,0.0,138.80133754062365,1.007420727299318,0.02422013358785181,7.302938733911052,0.04567199424613652,1.0007980731285437,0.026809149969954895,7.485277055518394,0.04828918449895691,1.010856849489864,0.02121827539397007,7.368631301005843,0.045323131433007945,1.0030883646452045,0.02564902559970254,7.567356038145615,0.048061538832339754,1.0004099196616305,0.021213118044831288,8.363593980432563,0.050064279527408606,1.0160980433309683,0.004828750861907625,0.24519671797242523,0.0008225204490110735
min,1633525154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.06,0.777,28.0,0.144,225.56,0.766,30.0,0.148,226.57,0.778,29.0,0.149,226.08,0.77,29.0,0.148,227.14,0.785,26.0,0.139,226.23,0.745,25.0,0.151
25%,1633526721.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.72,0.791,41.0,0.213,227.89,0.784,45.0,0.232,228.74,0.795,41.0,0.217,227.84,0.785,43.0,0.226,228.72,0.79,49.0,0.269,227.88,0.753,26.0,0.153
50%,1633528304.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.48,0.821,47.0,0.251,228.62,0.813,50.0,0.268,229.5,0.817,48.0,0.2565,228.67,0.809,49.0,0.262,229.5,0.794,53.0,0.293,228.65,0.757,26.0,0.154
75%,1633529831.5,100.0,400.0,0.0,0.0,0.0,0.0,0.0,230.06,0.839,53.0,0.295,229.18,0.835,58.0,0.317,230.03,0.835,54.0,0.297,229.19,0.834,56.0,0.307,230.04,0.808,53.0,0.296,229.19,0.76,26.0,0.154
max,1633531376.0,103.03,409.09,0.0,0.0,0.0,0.0,406.06,232.4,0.855,56.0,0.315,231.55,0.859,60.0,0.34,232.45,0.852,56.0,0.316,231.51,0.856,58.0,0.325,232.25,0.86,54.0,0.298,231.58,0.77,27.0,0.156
