<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:f791d3cc9170e7ed1202dad06b5f34cbf1df9478ecb72e579a69c304e087c099
size 243415
=======
timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
1633439692.0,0,0.0,0.0,0.0,0.0,0.0,0,229.84,0.843,40.0,0.21,228.83,0.838,45.0,0.23,229.63,0.84,40.0,0.212,228.95,0.839,43.0,0.221,230.06,0.848,28.0,0.145,228.94,0.761,27.0,0.155
1633439694.0,0,0.0,0.0,0.0,0.0,0.0,0,229.84,0.843,40.0,0.21,228.83,0.838,45.0,0.23,229.63,0.84,40.0,0.212,228.95,0.839,43.0,0.221,230.06,0.848,28.0,0.145,228.94,0.761,27.0,0.155
1633439695.0,0,0.0,0.0,0.0,0.0,0.0,0,229.84,0.843,40.0,0.21,228.83,0.838,45.0,0.23,229.63,0.84,40.0,0.212,228.95,0.839,43.0,0.221,230.06,0.848,28.0,0.145,228.94,0.761,27.0,0.155
1633439695.0,0,0.0,0.0,0.0,0.0,0.0,0,229.84,0.843,40.0,0.21,228.83,0.838,45.0,0.23,229.63,0.84,40.0,0.212,228.95,0.839,43.0,0.221,230.06,0.848,28.0,0.145,228.94,0.761,27.0,0.155
1633439716.0,0,0.0,0.0,0.0,0.0,0.0,0,229.57,0.843,40.0,0.211,228.72,0.841,44.0,0.228,229.62,0.84,40.0,0.212,228.85,0.84,43.0,0.22,229.61,0.846,27.0,0.144,228.63,0.761,27.0,0.155
1633439736.0,0,0.0,0.0,0.0,0.0,0.0,0,229.26,0.842,40.0,0.211,228.74,0.84,45.0,0.229,229.53,0.84,40.0,0.212,228.39,0.839,43.0,0.221,229.21,0.846,27.0,0.143,228.47,0.759,26.0,0.154
1633439737.0,0,0.0,0.0,0.0,0.0,0.0,0,229.26,0.842,40.0,0.211,228.74,0.84,45.0,0.229,229.53,0.84,40.0,0.212,228.39,0.839,43.0,0.221,229.21,0.846,27.0,0.143,228.47,0.759,26.0,0.154
1633439738.0,0,0.0,0.0,0.0,0.0,0.0,0,229.26,0.842,40.0,0.211,228.74,0.84,45.0,0.229,229.53,0.84,40.0,0.212,228.39,0.839,43.0,0.221,229.21,0.846,27.0,0.143,228.47,0.759,26.0,0.154
1633439758.0,0,0.0,0.0,0.0,0.0,0.0,0,229.28,0.853,28.0,0.146,228.39,0.839,44.0,0.229,229.12,0.839,40.0,0.212,228.42,0.838,43.0,0.221,229.24,0.855,29.0,0.151,228.38,0.75,26.0,0.155
1633439779.0,0,0.0,0.0,0.0,0.0,0.0,0,229.28,0.801,50.0,0.277,228.69,0.839,44.0,0.228,229.74,0.838,41.0,0.213,228.67,0.838,43.0,0.22,229.58,0.844,27.0,0.143,228.58,0.752,26.0,0.155
1633439780.0,0,0.0,0.0,0.0,0.0,0.0,0,229.28,0.801,50.0,0.277,228.69,0.839,44.0,0.228,229.74,0.838,41.0,0.213,228.67,0.838,43.0,0.22,229.58,0.844,27.0,0.143,228.58,0.752,26.0,0.155
1633439780.0,0,0.0,0.0,0.0,0.0,0.0,0,229.28,0.801,50.0,0.277,228.69,0.839,44.0,0.228,229.74,0.838,41.0,0.213,228.67,0.838,43.0,0.22,229.58,0.844,27.0,0.143,228.58,0.752,26.0,0.155
1633439801.0,0,0.0,0.0,0.0,0.0,0.0,0,228.59,0.789,54.0,0.301,228.48,0.84,44.0,0.227,229.42,0.839,40.0,0.212,228.17,0.839,43.0,0.221,229.24,0.845,27.0,0.143,228.37,0.758,26.0,0.155
1633439821.0,0,0.0,0.0,0.0,0.0,0.0,0,228.93,0.788,54.0,0.301,227.97,0.838,44.0,0.23,228.84,0.84,40.0,0.212,227.88,0.842,43.0,0.22,228.74,0.853,28.0,0.144,228.02,0.761,26.0,0.155
1633439822.0,0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.788,54.0,0.304,228.04,0.841,44.0,0.229,229.39,0.839,41.0,0.213,228.44,0.841,43.0,0.221,229.38,0.852,28.0,0.144,228.53,0.762,26.0,0.154
1633439823.0,0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.788,54.0,0.304,228.04,0.841,44.0,0.229,229.39,0.839,41.0,0.213,228.44,0.841,43.0,0.221,229.38,0.852,28.0,0.144,228.53,0.762,26.0,0.154
1633439843.0,0,0.0,0.0,0.0,0.0,0.0,0,229.36,0.786,54.0,0.304,228.5,0.841,45.0,0.229,229.38,0.841,41.0,0.213,228.55,0.838,43.0,0.223,229.37,0.848,28.0,0.144,228.41,0.756,26.0,0.155
1633439864.0,0,0.0,0.0,0.0,0.0,0.0,0,229.48,0.784,55.0,0.306,228.55,0.838,44.0,0.229,229.48,0.839,41.0,0.213,228.67,0.839,43.0,0.221,229.44,0.858,29.0,0.15,228.72,0.761,27.0,0.156
1633439865.0,0,0.0,0.0,0.0,0.0,0.0,0,229.48,0.784,55.0,0.306,228.55,0.838,44.0,0.229,229.48,0.839,41.0,0.213,228.67,0.839,43.0,0.221,229.44,0.858,29.0,0.15,228.72,0.761,27.0,0.156
1633439865.0,0,0.0,0.0,0.0,0.0,0.0,0,229.48,0.784,55.0,0.306,228.55,0.838,44.0,0.229,229.48,0.839,41.0,0.213,228.67,0.839,43.0,0.221,229.44,0.858,29.0,0.15,228.72,0.761,27.0,0.156
1633439886.0,0,0.0,0.0,0.0,0.0,0.0,0,229.67,0.786,55.0,0.306,228.52,0.839,45.0,0.23,229.28,0.839,40.0,0.213,228.54,0.837,43.0,0.223,229.43,0.852,28.0,0.145,228.63,0.762,26.0,0.154
1633439906.0,0,0.0,0.0,0.0,0.0,0.0,0,229.66,0.785,55.0,0.306,228.82,0.84,45.0,0.23,229.69,0.84,41.0,0.213,228.82,0.84,43.0,0.222,229.69,0.849,28.0,0.145,228.82,0.757,26.0,0.155
1633439908.0,0,0.0,0.0,0.0,0.0,0.0,0,229.66,0.785,55.0,0.306,228.82,0.84,45.0,0.23,229.69,0.84,41.0,0.213,228.82,0.84,43.0,0.222,229.69,0.849,28.0,0.145,228.82,0.757,26.0,0.155
1633439908.0,0,0.0,0.0,0.0,0.0,0.0,0,229.66,0.785,55.0,0.306,228.82,0.84,45.0,0.23,229.69,0.84,41.0,0.213,228.82,0.84,43.0,0.222,229.69,0.849,28.0,0.145,228.82,0.757,26.0,0.155
1633439928.0,0,0.0,0.0,0.0,0.0,0.0,0,229.17,0.786,55.0,0.307,228.69,0.858,30.0,0.152,229.37,0.84,40.0,0.212,228.49,0.838,43.0,0.224,229.5,0.845,27.0,0.142,228.39,0.759,26.0,0.154
1633439949.0,0,0.0,0.0,0.0,0.0,0.0,0,229.09,0.786,55.0,0.307,228.32,0.799,54.0,0.293,228.95,0.841,41.0,0.213,228.2,0.84,43.0,0.222,229.12,0.848,28.0,0.145,228.26,0.757,26.0,0.155
1633439950.0,0,0.0,0.0,0.0,0.0,0.0,0,229.09,0.786,55.0,0.307,228.32,0.799,54.0,0.293,228.95,0.841,41.0,0.213,228.2,0.84,43.0,0.222,229.12,0.848,28.0,0.145,228.26,0.757,26.0,0.155
1633439950.0,0,0.0,0.0,0.0,0.0,0.0,0,229.09,0.786,55.0,0.307,228.32,0.799,54.0,0.293,228.95,0.841,41.0,0.213,228.2,0.84,43.0,0.222,229.12,0.848,28.0,0.145,228.26,0.757,26.0,0.155
