<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:354b3f4692e2dbcdb3133c091cb33c680acb969dbc7bae4d5ddefe256582bdcc
size 2602
=======
,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0
mean,1634128432.2150161,97.58494110032362,0.0,0.0,0.0,0.0,0.0,0.0,229.7276310679612,0.8205842071197411,44.29967637540453,0.23826692556634305,228.88901747572817,0.8153161165048544,48.23948220064725,0.2566974757281553,229.727474433657,0.8212579935275081,43.51818770226537,0.23384750809061491,228.8839508090615,0.8197580582524271,45.1411003236246,0.23890498381877026,229.72539158576052,0.8458309385113268,27.422394822006474,0.143677281553398,228.89281165048544,0.8221275080906149,46.80414239482201,0.2512108737864078
std,4139.86294345072,11.77662270332647,0.0,0.0,0.0,0.0,0.0,0.0,0.920866416527109,0.023824314009437384,6.010878809200809,0.04049106517902731,0.9245833696237865,0.02538006299346894,5.945647110797266,0.04190488230692224,0.9261671591599723,0.020841734322076047,6.066636424107564,0.03941299006913703,0.9370494547491656,0.02253151544742515,6.162588643511035,0.040381961048346494,0.9343803794396343,0.0041769075792885725,0.6272268145799657,0.0021627365004684438,0.9218771049060189,0.025961478565510267,7.6679931220194675,0.04419372851909785
min,1634121104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.86,0.768,27.0,0.143,224.81,0.758,29.0,0.147,225.67,0.77,28.0,0.146,224.92,0.763,29.0,0.148,225.72,0.835,27.0,0.141,224.84,0.748,26.0,0.151
25%,1634124858.0,97.06,0.0,0.0,0.0,0.0,0.0,0.0,229.24,0.829,41.0,0.219,228.37,0.824,45.0,0.236,229.2,0.827,41.0,0.218,228.38,0.826,43.0,0.225,229.24,0.843,27.0,0.143,228.4,0.831,46.0,0.242
50%,1634128307.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,229.73,0.832,42.0,0.221,228.9,0.827,46.0,0.239,229.76,0.829,42.0,0.221,228.89,0.828,44.0,0.228,229.72,0.845,27.0,0.144,228.91,0.835,47.0,0.246
75%,1634132076.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,230.5,0.833,42.0,0.223,229.67,0.829,46.0,0.243,230.5,0.831,42.0,0.224,229.68,0.83,44.0,0.232,230.52,0.849,28.0,0.144,229.64,0.837,47.0,0.248
max,1634135490.0,103.03,0.0,0.0,0.0,0.0,0.0,0.0,231.44,0.85,57.0,0.326,230.74,0.855,61.0,0.347,231.59,0.851,57.0,0.322,230.74,0.852,58.0,0.331,231.54,0.86,38.0,0.196,230.78,0.843,62.0,0.353
>>>>>>> Stashed changes
