<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:8bbfae874c9e7ffa8c5d4747c16b088ec5ab0e9066b73a1ae22ead804c0cfa74
size 2604
=======
,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0,7725.0
mean,1634128412.4582524,97.69337993527508,0.0,0.0,0.0,0.0,0.0,0.0,229.73154563106795,0.8210104854368933,44.18925566343042,0.23752440129449842,228.8923145631068,0.8162125566343043,47.916763754045306,0.25469928802589,229.73026666666667,0.8219664724919094,43.23093851132686,0.2321105501618123,228.88635339805828,0.8205668608414238,44.854110032362456,0.2371284142394822,229.7279365695793,0.8458125566343041,27.41527508090615,0.1436660194174757,228.89531132686082,0.8218433656957929,46.4346925566343,0.24919197411003233
std,4133.930671367633,11.910353310571322,0.0,0.0,0.0,0.0,0.0,0.0,0.9189383344392311,0.023498432990604525,5.949547374304783,0.04001962984538558,0.9228512641114739,0.025189835906351713,6.131198488971519,0.042532828345458455,0.9248147917839358,0.02050005468022478,6.1488106416241255,0.03955825076116875,0.9344718261628836,0.022112579508011036,6.233300652807057,0.04042937691193901,0.9318265467462342,0.004179469779073489,0.6269245398123999,0.002163869613907611,0.920952196785884,0.026324289399505256,7.834052915622767,0.044346235401697846
min,1634121078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.86,0.768,27.0,0.143,224.81,0.758,29.0,0.147,225.67,0.77,28.0,0.146,224.92,0.763,29.0,0.147,225.72,0.835,27.0,0.141,224.84,0.748,26.0,0.151
25%,1634124845.0,97.06,0.0,0.0,0.0,0.0,0.0,0.0,229.25,0.83,41.0,0.219,228.38,0.824,45.0,0.236,229.21,0.828,41.0,0.218,228.39,0.826,43.0,0.225,229.24,0.843,27.0,0.143,228.4,0.831,46.0,0.242
50%,1634128288.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,229.74,0.832,42.0,0.221,228.9,0.827,46.0,0.239,229.76,0.83,42.0,0.221,228.89,0.828,44.0,0.228,229.72,0.845,27.0,0.144,228.91,0.835,47.0,0.246
75%,1634132053.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,230.5,0.833,42.0,0.223,229.67,0.829,46.0,0.242,230.5,0.831,42.0,0.223,229.66,0.83,44.0,0.232,230.52,0.849,28.0,0.144,229.64,0.837,47.0,0.248
max,1634135466.0,103.03,0.0,0.0,0.0,0.0,0.0,0.0,231.44,0.85,57.0,0.326,230.74,0.855,61.0,0.347,231.59,0.851,57.0,0.322,230.74,0.852,58.0,0.331,231.54,0.86,38.0,0.196,230.78,0.843,62.0,0.352
>>>>>>> Stashed changes
