<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:46a0ae97ffe2aca9e682a30ecabe1232f360026225e899dc6c93611965a64dbc
size 2613
=======
,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0
mean,1634151688.5060852,0.0,0.0,0.0,0.0,0.0,0.0,357.7512677484787,230.1350659229209,0.8164751521298174,39.38184584178499,0.2142520283975659,229.30432555780934,0.7932129817444219,49.75709939148073,0.27209634888438133,230.1496551724138,0.8052910750507098,45.44371196754564,0.24880882352941178,229.30738336713998,0.7837885395537526,51.113590263691684,0.28174340770791073,230.15175963488844,0.8458341784989859,28.53549695740365,0.1484868154158215,229.29705882352943,0.7918869168356999,47.19929006085193,0.26184077079107504
std,3166.1949017269053,0.0,0.0,0.0,0.0,0.0,0.0,126.66540614695764,0.7061698418046397,0.026273217921226447,9.805968167925505,0.058953290688017766,0.6930847826764186,0.027806011961464126,8.748433232447233,0.0547456073948118,0.6957335245974051,0.020203994196496898,8.451873845542343,0.05010237579303843,0.6801099301472912,0.011662269686621375,3.713930594006086,0.023128983009382438,0.6781130720173897,0.002452674987891693,0.49886487739303664,0.0010733280393554656,0.7034142801408525,0.010284777717150863,12.176585873482345,0.0658620084825374
min,1634146025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.48,0.78,28.0,0.149,227.5,0.771,31.0,0.156,228.5,0.787,28.0,0.149,227.72,0.775,29.0,0.149,228.51,0.841,28.0,0.145,227.61,0.756,27.0,0.157
25%,1634149118.5,0.0,0.0,0.0,0.0,0.0,0.0,400.0,229.73,0.789,29.0,0.152,228.91,0.776,51.0,0.277,229.82,0.792,43.0,0.239,228.93,0.779,52.0,0.285,229.8,0.844,28.0,0.148,228.9,0.79,30.0,0.166
50%,1634151834.5,0.0,0.0,0.0,0.0,0.0,0.0,403.03,230.1,0.813,46.0,0.248,229.3,0.779,55.0,0.303,230.12,0.794,50.0,0.279,229.28,0.782,52.0,0.287,230.14,0.846,29.0,0.149,229.29,0.793,55.0,0.306
75%,1634154590.25,0.0,0.0,0.0,0.0,0.0,0.0,406.06,230.6,0.843,50.0,0.277,229.72,0.793,55.0,0.305,230.57,0.81,51.0,0.282,229.75,0.784,52.0,0.289,230.58,0.848,29.0,0.149,229.75,0.795,56.0,0.308
max,1634157344.0,0.0,0.0,0.0,0.0,0.0,0.0,406.06,232.09,0.847,51.0,0.284,231.22,0.852,56.0,0.309,232.02,0.847,52.0,0.285,231.04,0.848,53.0,0.291,231.99,0.851,29.0,0.15,231.19,0.846,56.0,0.312
>>>>>>> Stashed changes
