<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:c8facb100f51c6455248f3dfab9e7624da86aaa95d8c6a979d4c15f1d702974b
size 2629
=======
,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0
mean,1634151757.7560852,0.0,0.0,0.0,0.0,0.0,0.0,359.0379056795132,230.1516379310345,0.8021673427991888,44.52079107505071,0.2453225152129818,229.31217038539552,0.7917682555780934,50.16227180527383,0.27472920892494934,230.1431085192698,0.7939721095334685,50.13032454361055,0.2769660243407707,229.31448782961462,0.8006820486815417,45.49340770791075,0.2469528397565923,230.14335699797158,0.8458569979716024,28.574036511156187,0.14863945233265718,229.3022210953347,0.7874741379310346,41.856490872210955,0.23335902636916833
std,3161.347851356923,0.0,0.0,0.0,0.0,0.0,0.0,125.70713899473543,0.7048990735904225,0.024125777899317927,8.662513568952116,0.05234164046335384,0.6882217435651342,0.026706145555866628,8.52525043552911,0.05329737847008825,0.6893597514791168,0.008160536201939562,3.326286813192529,0.019812755189634258,0.6884918269616233,0.028871464519177985,9.398687104040459,0.05817374828386861,0.7016515910242951,0.0024939982171301067,0.5057711932629722,0.0011679489818526717,0.7034182941905509,0.01469910762976297,13.404270712037293,0.07176830713021026
min,1634146097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.46,0.78,28.0,0.149,227.49,0.771,31.0,0.156,228.41,0.787,28.0,0.149,227.54,0.776,30.0,0.153,228.27,0.839,28.0,0.145,227.54,0.749,27.0,0.157
25%,1634149190.75,0.0,0.0,0.0,0.0,0.0,0.0,400.0,229.8,0.784,43.0,0.23,228.97,0.776,51.0,0.279,229.79500000000002,0.791,50.0,0.279,228.93,0.779,32.0,0.163,229.78,0.844,28.0,0.148,228.89,0.777,28.0,0.162
50%,1634151907.5,0.0,0.0,0.0,0.0,0.0,0.0,403.03,230.18,0.789,50.0,0.278,229.38,0.779,55.0,0.303,230.16,0.792,51.0,0.282,229.34,0.783,52.0,0.286,230.18,0.846,29.0,0.149,229.36,0.791,36.0,0.19
75%,1634154662.25,0.0,0.0,0.0,0.0,0.0,0.0,406.06,230.61,0.818,50.0,0.281,229.73,0.791,55.0,0.305,230.56,0.794,51.0,0.283,229.76,0.841,52.0,0.288,230.61,0.848,29.0,0.149,229.76,0.794,56.0,0.308
max,1634157379.0,0.0,0.0,0.0,0.0,0.0,0.0,406.06,231.99,0.847,51.0,0.284,231.22,0.852,56.0,0.309,231.97,0.847,52.0,0.285,231.1,0.848,53.0,0.291,231.96,0.852,30.0,0.156,231.19,0.846,56.0,0.312
>>>>>>> Stashed changes
