,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0
mean,1633552188.113276,51.81880889476002,108.44475121092029,0.0,0.0,0.0,0.0,52.672330471158084,229.25913474240423,0.8044663143989433,46.310986349625715,0.25507771906649057,228.4178500660502,0.7979045574636724,50.48139586085425,0.27560501981505947,229.2646686481726,0.8050351166886832,47.13848524878908,0.25905922501100836,228.42591589608102,0.7986242844561866,48.784786437692645,0.2658183619550859,229.26503852928224,0.8447823645970938,27.665785997357993,0.14464332892998677,228.42487010127698,0.7988046014971378,51.96653456627037,0.2881868119771026
std,3795.316694255265,49.49269179829887,178.56117353880794,0.0,0.0,0.0,0.0,135.81561309820867,0.9449680730859348,0.028624314696662684,7.185656008279837,0.047417163995870995,0.9426770152378788,0.02904519374868794,7.6154251055112505,0.05039513668944954,0.9400049837319077,0.024129854851701563,6.997961244737616,0.044991001995849815,0.9386483919291084,0.027548835028805504,7.137181906850419,0.0469922801257332,0.9383336690545759,0.0031687594624255915,0.4717409257670814,0.001008735692410955,0.9324143591378489,0.02400970978593867,8.297691358391859,0.051514734939578824
min,1633545597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.14,0.762,28.0,0.145,226.23,0.754,30.0,0.152,226.89,0.766,29.0,0.151,226.37,0.757,29.0,0.149,227.23,0.836,27.0,0.142,226.35,0.752,27.0,0.156
25%,1633548925.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.57,0.775,42.0,0.221,227.73,0.769,45.0,0.239,228.59,0.781,42.0,0.223,227.73,0.771,44.0,0.232,228.57,0.843,27.0,0.144,227.71,0.775,47.0,0.252
50%,1633552170.5,97.06,0.0,0.0,0.0,0.0,0.0,0.0,229.18,0.795,49.0,0.27,228.33,0.794,51.0,0.275,229.17,0.798,50.0,0.276,228.34,0.792,49.0,0.27,229.15,0.845,28.0,0.145,228.34,0.795,53.0,0.289
75%,1633555502.5,100.0,394.12,0.0,0.0,0.0,0.0,0.0,229.96,0.832,53.0,0.301,229.15,0.824,58.0,0.324,229.995,0.828,54.0,0.304,229.15,0.824,56.0,0.311,229.99,0.847,28.0,0.145,229.16,0.824,60.0,0.339
max,1633558743.0,103.03,406.06,0.0,0.0,0.0,0.0,406.06,231.96,0.848,56.0,0.322,230.89,0.85,60.0,0.346,231.67,0.845,56.0,0.32,230.83,0.847,58.0,0.333,231.73,0.853,28.0,0.147,230.96,0.851,62.0,0.358
