,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0
mean,1633552099.9122634,52.30335645090268,104.10776640246587,0.0,0.0,0.0,0.0,52.36319352708058,229.25853698811093,0.8047462571554382,46.28500660501982,0.25482221488331136,228.4170794804051,0.7982817040951123,50.4114927344782,0.27508333333333335,229.262868780273,0.8049001541171291,47.11900044033465,0.25903027300748566,228.42411933069133,0.799002091589608,48.63143989431968,0.26487538529282256,229.26398833113163,0.8447790620871862,27.66325407309555,0.14464288859533245,228.42288088947603,0.7984046675473359,51.90400704535447,0.28792393218846324
std,3793.861644497942,49.42696760279527,174.44330414575433,0.0,0.0,0.0,0.0,135.4748765072897,0.9485210479573678,0.028489079830248808,7.105774485301212,0.04695001673072975,0.9453952802362053,0.02887434217705613,7.55645812991612,0.0499989694011002,0.942833462362422,0.024186831144508612,7.12946569752775,0.04563604187786695,0.9415894146895999,0.02757343833919124,7.275488860996551,0.04764072594645716,0.9415673007906609,0.003196999474177795,0.4726232085949395,0.0010063943203575008,0.9355581092547938,0.023972727637542452,8.447885027522668,0.052045065158457034
min,1633545512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.14,0.762,28.0,0.145,226.23,0.754,29.0,0.148,226.89,0.766,28.0,0.147,226.37,0.757,29.0,0.149,227.23,0.836,27.0,0.142,226.35,0.752,27.0,0.155
25%,1633548833.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.56,0.775,42.0,0.221,227.72,0.769,45.0,0.239,228.57,0.781,42.0,0.223,227.72,0.771,44.0,0.232,228.56,0.843,27.0,0.144,227.7,0.774,47.0,0.253
50%,1633552085.5,97.06,0.0,0.0,0.0,0.0,0.0,0.0,229.18,0.801,47.0,0.26,228.31,0.795,50.0,0.273,229.15,0.798,50.0,0.277,228.33,0.793,49.0,0.2685,229.15,0.845,28.0,0.145,228.33,0.794,53.0,0.291
75%,1633555403.25,100.0,391.18,0.0,0.0,0.0,0.0,0.0,229.97,0.832,53.0,0.301,229.16,0.824,58.0,0.324,230.01,0.828,54.0,0.304,229.15,0.824,56.0,0.311,230.0,0.847,28.0,0.145,229.17,0.824,60.0,0.339
max,1633558656.0,103.03,406.06,0.0,0.0,0.0,0.0,406.06,231.96,0.848,56.0,0.322,230.89,0.85,60.0,0.346,231.67,0.845,56.0,0.32,230.83,0.847,58.0,0.333,231.73,0.853,28.0,0.147,230.96,0.851,62.0,0.358
