,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0
mean,1633552156.3022897,49.856282474680754,114.38235909291059,0.0,0.0,0.0,0.0,52.86737890797006,229.27205416116246,0.8039071994715984,46.42404227212682,0.2558812197269925,228.43069352708056,0.797405438132981,50.595002201673275,0.2763929986789961,229.27752752091587,0.8054587186261559,47.008036107441654,0.25821378247468074,228.43838066930869,0.7982095992954645,48.84313077939234,0.26628203434610304,229.27812857771906,0.8447440554821665,27.663804491413476,0.1446374944958168,228.43595222369,0.7982253412593571,52.05206957287538,0.28883366358432405
std,3798.2431155648596,49.46592774684756,179.29289568025817,0.0,0.0,0.0,0.0,136.0003074122931,0.9454100728296958,0.02870045744846662,7.223432677802886,0.04764419676541639,0.9414335738261356,0.029120968418763417,7.64551674884868,0.05057665378016194,0.9400304203851928,0.02423238243374243,7.063157098195242,0.04534879665889245,0.9387798668518742,0.027718594487120975,7.249926150869934,0.047618108408216606,0.9382569488947073,0.003189523907131001,0.47243270257074843,0.0010096566321713936,0.9322485016791859,0.02415903792242631,8.365115612389037,0.051853928155994905
min,1633545549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.14,0.762,28.0,0.145,226.23,0.754,30.0,0.152,226.89,0.766,28.0,0.147,226.37,0.757,29.0,0.149,227.23,0.836,27.0,0.142,226.35,0.752,27.0,0.155
25%,1633548885.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.58,0.774,42.0,0.221,227.75,0.769,45.0,0.239,228.59,0.781,42.0,0.223,227.73,0.771,44.0,0.232,228.57,0.843,27.0,0.144,227.71,0.774,47.0,0.253
50%,1633552136.0,97.06,0.0,0.0,0.0,0.0,0.0,0.0,229.21,0.794,49.0,0.272,228.34,0.787,53.0,0.2925,229.185,0.8,49.0,0.269,228.36,0.788,51.0,0.279,229.16,0.845,28.0,0.145,228.35,0.794,53.0,0.292
75%,1633555460.5,100.0,391.18,0.0,0.0,0.0,0.0,0.0,229.97,0.832,53.0,0.301,229.16,0.824,58.0,0.324,230.03,0.828,54.0,0.304,229.16,0.824,56.0,0.312,230.01,0.847,28.0,0.145,229.17,0.824,60.0,0.34
max,1633558710.0,103.03,406.06,0.0,0.0,0.0,0.0,406.06,231.96,0.848,56.0,0.322,230.89,0.85,60.0,0.346,231.67,0.845,56.0,0.32,230.83,0.847,58.0,0.333,231.73,0.853,28.0,0.147,230.96,0.851,62.0,0.358
