,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0,9084.0
mean,1633552159.127477,52.1654579480405,106.457524218406,0.0,0.0,0.0,0.0,52.12050858652576,229.25818582122412,0.8045713342140026,46.309225011008365,0.25501783355350066,228.4163628357552,0.7980392998678996,50.46719506825187,0.2754725891677675,229.26325627476882,0.8049313077939234,47.166556583003086,0.25924537648612944,228.42492844561866,0.7990355570233376,48.65246587406429,0.2649797446059005,229.26411822985466,0.844789740202554,27.665565830030822,0.14464288859533245,228.4230096873624,0.798588177014531,51.97996477322765,0.2883200132100396
std,3793.733391203165,49.438088842552915,176.52083607895153,0.0,0.0,0.0,0.0,135.30400587368538,0.947625314038659,0.028543580111599267,7.1359024603943855,0.047119323667501684,0.9439478395207646,0.02892111722743522,7.558886402023977,0.05004296532787469,0.9420741812654531,0.024084787147337524,6.996837963178866,0.04495529487687698,0.9409678441395781,0.027617417232030105,7.230053936563793,0.04745038175531165,0.940877126605774,0.003180752484664182,0.4718182509415806,0.0010070504840611586,0.9345495844585681,0.02402410889119974,8.335185806283505,0.05164398994900528
min,1633545569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.14,0.762,28.0,0.145,226.23,0.754,30.0,0.152,226.89,0.766,29.0,0.151,226.37,0.757,29.0,0.149,227.23,0.836,27.0,0.142,226.35,0.752,27.0,0.155
25%,1633548895.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.56,0.775,42.0,0.221,227.73,0.769,45.0,0.239,228.59,0.781,42.0,0.223,227.73,0.771,44.0,0.232,228.56,0.843,27.0,0.144,227.7,0.774,47.0,0.253
50%,1633552145.0,97.06,0.0,0.0,0.0,0.0,0.0,0.0,229.18,0.795,48.0,0.269,228.32,0.795,50.0,0.274,229.15,0.798,50.0,0.276,228.33,0.794,49.0,0.267,229.15,0.845,28.0,0.145,228.33,0.794,53.0,0.291
75%,1633555463.25,100.0,391.18,0.0,0.0,0.0,0.0,0.0,229.96,0.832,53.0,0.301,229.15,0.824,58.0,0.324,230.01,0.828,54.0,0.304,229.15,0.824,56.0,0.311,229.99,0.847,28.0,0.145,229.16,0.824,60.0,0.339
max,1633558716.0,103.03,409.09,0.0,0.0,0.0,0.0,409.09,231.96,0.848,56.0,0.322,230.89,0.85,60.0,0.346,231.67,0.845,56.0,0.32,230.83,0.847,58.0,0.333,231.73,0.853,28.0,0.147,230.96,0.851,62.0,0.358
