<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:d864d0e84a3cbeb8618872f5b139ea9f2acc3d92ff49f238b2677dacc58bd503
size 2618
=======
,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0,12957.0
mean,1632828569.1011035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.26006714517246,0.8493993980087983,27.50019294589797,0.14387296442077638,228.41208690283247,0.8533635100717758,29.3205989040673,0.14787713205217257,229.26294975688816,0.8474252527591264,28.07200740912248,0.14660137377479354,228.41696380334955,0.8505373157366675,29.460214555838544,0.1493703789457436,229.26883692212704,0.8473908312109285,27.47889171876206,0.1440950065601605,228.41800108049702,0.7534704020992514,25.993439839469012,0.1536027629852589
std,4157.535887651827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7695314309071704,0.002119247481455579,0.5000192584771548,0.001602880709743059,0.7672088968245444,0.0020822814223178726,0.5613237007682672,0.00245893086886031,0.7684829092484873,0.00200552758253713,0.3969839487681533,0.0022269729285336617,0.7683451319186664,0.002018806451247403,0.547718372454722,0.0022927451698040516,0.7561124579858272,0.004262993239204919,0.5055631303917162,0.001677080827576949,0.7587094604545338,0.0028487917308571134,0.10262169499798521,0.0009738167226686769
min,1632821369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.53,0.844,27.0,0.141,225.29,0.837,29.0,0.144,227.15,0.839,28.0,0.144,225.85,0.846,29.0,0.146,227.16,0.836,27.0,0.141,226.28,0.746,25.0,0.149
25%,1632824969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.72,0.848,27.0,0.143,227.9,0.852,29.0,0.147,228.74,0.846,28.0,0.145,227.92,0.849,29.0,0.148,228.73,0.844,27.0,0.143,227.9,0.751,26.0,0.153
50%,1632828569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.3,0.849,28.0,0.144,228.45,0.853,29.0,0.147,229.3,0.847,28.0,0.146,228.45,0.85,29.0,0.149,229.29,0.847,27.0,0.144,228.44,0.753,26.0,0.154
75%,1632832169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.82,0.851,28.0,0.145,228.97,0.855,30.0,0.149,229.83,0.849,28.0,0.148,228.98,0.852,30.0,0.151,229.83,0.851,28.0,0.145,228.98,0.755,26.0,0.154
max,1632835769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.07,0.857,28.0,0.149,230.35,0.86,39.0,0.201,231.27,0.854,36.0,0.189,230.5,0.857,36.0,0.185,231.05,0.859,29.0,0.152,230.36,0.764,27.0,0.156
>>>>>>> Stashed changes
