,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0
mean,1631892131.5906305,0.0,390.6283657657657,0.0,0.0,0.0,0.0,0.0,229.16428288288287,0.7659194594594595,54.024504504504506,0.31034486486486484,228.31105765765767,0.7862212612612614,49.99963963963964,0.2798131531531532,229.16677657657655,0.7953311711711711,46.04810810810811,0.2573837837837838,228.31236756756755,0.7944365765765765,45.93063063063063,0.2538652252252252,229.15749909909908,0.8440046846846846,28.714234234234233,0.14997333333333332,228.30916756756756,0.775680900900901,45.89063063063063,0.26246630630630635
std,53690093.24302872,0.0,66.81093222021099,0.0,0.0,0.0,0.0,0.0,0.8223103785070732,0.009169368077191108,2.883659551815097,0.018255035958206232,0.8212731251802708,0.038275166082597435,12.23939733933014,0.07828110258404171,0.8292214345958812,0.03185114534789127,11.549326582916278,0.0718027204322917,0.8299448911135523,0.037902040021144674,12.016315369866216,0.07694805805358197,0.8225699903279938,0.0020514150906745555,0.4557902236426223,0.0007820814206918222,0.8172171630241302,0.009068966205906883,14.9869205473287,0.08606744768156988
min,1631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.32,0.76,28.0,0.145,226.23,0.754,29.0,0.148,227.1,0.767,28.0,0.148,226.32,0.756,30.0,0.149,227.25,0.839,28.0,0.145,226.22,0.745,27.0,0.156
25%,1633654667.5,0.0,400.0,0.0,0.0,0.0,0.0,0.0,228.5,0.763,54.0,0.311,227.62,0.76,32.0,0.161,228.4825,0.771,30.0,0.157,227.63,0.763,31.0,0.159,228.48,0.842,28.0,0.15,227.65,0.77,29.0,0.163
50%,1633658278.5,0.0,403.03,0.0,0.0,0.0,0.0,0.0,229.04,0.764,54.0,0.313,228.19,0.762,58.0,0.33,229.05,0.774,54.0,0.307,228.18,0.767,55.0,0.311,229.04,0.844,29.0,0.15,228.2,0.773,58.0,0.33
75%,1633661890.5,0.0,406.06,0.0,0.0,0.0,0.0,0.0,229.8,0.766,55.0,0.316,228.93,0.843,58.0,0.333,229.81,0.839,55.0,0.311,228.97,0.841,56.0,0.319,229.83,0.846,29.0,0.15,228.98,0.78,59.0,0.339
max,1633665183.0,0.0,412.12,0.0,0.0,0.0,0.0,0.0,231.92,0.846,55.0,0.32,230.98,0.848,59.0,0.34,231.87,0.843,55.0,0.316,230.82,0.845,57.0,0.326,231.85,0.849,30.0,0.159,230.96,0.841,60.0,0.344
