,timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0
mean,1631892214.1868467,0.0,382.99504504504506,0.0,0.0,0.0,0.0,0.0,229.13339099099096,0.787638918918919,47.244144144144144,0.26711009009009007,228.2916378378378,0.7694445045045044,55.46396396396396,0.31458342342342344,229.1345711711712,0.7726290090090091,54.13891891891892,0.3079545945945946,228.3007189189189,0.7720120720720721,52.99279279279279,0.2993983783783784,229.1274882882883,0.8441396396396396,28.70918918918919,0.14995261261261258,228.28295495495493,0.7721452252252252,54.24234234234234,0.31100738738738737
std,53690095.94237113,0.0,64.9980275416913,0.0,0.0,0.0,0.0,0.0,0.8230992708795165,0.03612639849889915,11.29545688814274,0.07161143893367561,0.8104038551065813,0.026364942316380622,7.981103705754604,0.051700910231368455,0.8232627125362082,0.008629611703474212,2.9106937240492328,0.018222501768534467,0.8230001982244233,0.024910031630415237,7.831318981203027,0.050667304455112416,0.8199272948989439,0.0020737344845546033,0.45773450588648074,0.0007392574334516496,0.8150403548864821,0.007976616443580081,11.008925502471495,0.06336815953915871
min,1631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.35,0.76,28.0,0.145,226.64,0.754,29.0,0.148,227.38,0.765,28.0,0.148,226.51,0.756,30.0,0.149,227.44,0.839,28.0,0.145,226.46,0.745,27.0,0.156
25%,1633654793.5,0.0,391.18,0.0,0.0,0.0,0.0,0.0,228.48,0.763,31.0,0.161,227.64,0.759,58.0,0.33,228.47,0.769,54.0,0.308,227.63,0.761,55.0,0.314,228.45,0.843,28.0,0.15,227.65,0.769,58.0,0.333
50%,1633658403.5,0.0,394.12,0.0,0.0,0.0,0.0,0.0,229.07,0.765,54.0,0.313,228.2,0.761,58.0,0.333,229.07,0.771,55.0,0.311,228.21,0.763,56.0,0.319,229.06,0.844,29.0,0.15,228.23,0.771,59.0,0.339
75%,1633661679.5,0.0,394.12,0.0,0.0,0.0,0.0,0.0,229.75,0.84,55.0,0.316,228.8975,0.762,58.0,0.334,229.75,0.773,55.0,0.313,228.94,0.766,56.0,0.32,229.78,0.846,29.0,0.15,228.91,0.773,59.0,0.34
max,1633665291.0,0.0,406.06,0.0,0.0,0.0,0.0,0.0,231.92,0.847,55.0,0.32,230.98,0.85,59.0,0.34,231.87,0.842,55.0,0.317,230.82,0.845,57.0,0.326,231.85,0.849,30.0,0.158,230.96,0.845,60.0,0.344
