,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
count,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0
mean,0.2798131531531532,229.16677657657655,0.7953311711711711,46.04810810810811,0.2573837837837838,228.31236756756755,0.7944365765765765,45.93063063063063,0.2538652252252252,229.15749909909908,0.8440046846846846,28.714234234234233,0.14997333333333332,228.30916756756756,0.775680900900901,45.89063063063063,0.26246630630630635
std,0.07828110258404171,0.8292214345958812,0.03185114534789127,11.549326582916278,0.0718027204322917,0.8299448911135523,0.037902040021144674,12.016315369866216,0.07694805805358197,0.8225699903279938,0.0020514150906745555,0.4557902236426223,0.0007820814206918222,0.8172171630241302,0.009068966205906883,14.9869205473287,0.08606744768156988
min,0.148,227.1,0.767,28.0,0.148,226.32,0.756,30.0,0.149,227.25,0.839,28.0,0.145,226.22,0.745,27.0,0.156
25%,0.161,228.4825,0.771,30.0,0.157,227.63,0.763,31.0,0.159,228.48,0.842,28.0,0.15,227.65,0.77,29.0,0.163
50%,0.33,229.05,0.774,54.0,0.307,228.18,0.767,55.0,0.311,229.04,0.844,29.0,0.15,228.2,0.773,58.0,0.33
75%,0.333,229.81,0.839,55.0,0.311,228.97,0.841,56.0,0.319,229.83,0.846,29.0,0.15,228.98,0.78,59.0,0.339
max,0.34,231.87,0.843,55.0,0.316,230.82,0.845,57.0,0.326,231.85,0.849,30.0,0.159,230.96,0.841,60.0,0.344
