<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:6698acfde20e385a2e18d17f4bcd4e8e663ab4c14bef88158e1bd1285e9185c0
size 473522
=======
timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
1634145954.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.65,0.847,28.0,0.145,228.76,0.85,32.0,0.164,229.56,0.846,29.0,0.15,228.99,0.846,30.0,0.154,229.77,0.85,28.0,0.146,228.79,0.772,27.0,0.157
1634145955.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.65,0.847,28.0,0.145,228.76,0.85,32.0,0.164,229.56,0.846,29.0,0.15,228.99,0.846,30.0,0.154,229.77,0.85,28.0,0.146,228.79,0.772,27.0,0.157
1634145957.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.23,0.847,29.0,0.151,228.53,0.785,54.0,0.297,229.27,0.848,29.0,0.149,228.66,0.847,30.0,0.154,229.49,0.848,28.0,0.146,228.63,0.78,28.0,0.159
1634145957.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.23,0.847,29.0,0.151,228.53,0.785,54.0,0.297,229.27,0.848,29.0,0.149,228.66,0.847,30.0,0.154,229.49,0.848,28.0,0.146,228.63,0.78,28.0,0.159
1634145997.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.64,0.842,29.0,0.151,228.79,0.781,54.0,0.301,229.65,0.843,29.0,0.15,228.81,0.845,30.0,0.155,229.6,0.849,28.0,0.146,228.85,0.769,27.0,0.157
1634146338.0,0,0.0,0.0,0.0,0.0,0.0,403.03,228.73,0.843,28.0,0.15,227.9,0.791,52.0,0.288,228.91,0.842,28.0,0.15,227.89,0.845,30.0,0.153,228.8,0.849,28.0,0.145,227.96,0.816,51.0,0.277
1634146339.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.73,0.843,28.0,0.15,227.9,0.791,52.0,0.288,228.91,0.842,28.0,0.15,227.89,0.845,30.0,0.153,228.8,0.849,28.0,0.145,227.96,0.816,51.0,0.277
1634146341.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.73,0.843,28.0,0.15,227.9,0.791,52.0,0.288,228.91,0.842,28.0,0.15,227.89,0.845,30.0,0.153,228.8,0.849,28.0,0.145,227.96,0.816,51.0,0.277
1634146342.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.73,0.843,28.0,0.15,227.9,0.791,52.0,0.288,228.91,0.842,28.0,0.15,227.89,0.845,30.0,0.153,228.8,0.849,28.0,0.145,227.96,0.816,51.0,0.277
1634146344.0,0,0.0,0.0,0.0,0.0,0.0,0.0,228.73,0.843,28.0,0.15,227.9,0.791,52.0,0.288,228.91,0.842,28.0,0.15,227.89,0.845,30.0,0.153,228.8,0.849,28.0,0.145,227.96,0.816,51.0,0.277
