<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:5570080bee7fdff6e1fd3eacd3101ec95afc9d034726cb2a14b9d63e9010da11
size 472369
=======
timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
1634146025.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.51,0.844,29.0,0.151,228.82,0.782,55.0,0.302,229.53,0.846,29.0,0.149,228.86,0.844,31.0,0.155,229.64,0.848,28.0,0.146,228.63,0.778,28.0,0.159
1634146027.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.51,0.844,29.0,0.151,228.82,0.782,55.0,0.302,229.53,0.846,29.0,0.149,228.86,0.844,31.0,0.155,229.64,0.848,28.0,0.146,228.63,0.778,28.0,0.159
1634146028.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.51,0.844,29.0,0.151,228.82,0.782,55.0,0.302,229.53,0.846,29.0,0.149,228.86,0.844,31.0,0.155,229.64,0.848,28.0,0.146,228.63,0.778,28.0,0.159
1634146028.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.51,0.844,29.0,0.151,228.82,0.782,55.0,0.302,229.53,0.846,29.0,0.149,228.86,0.844,31.0,0.155,229.64,0.848,28.0,0.146,228.63,0.778,28.0,0.159
1634146069.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.39,0.845,29.0,0.15,228.6,0.783,55.0,0.302,229.4,0.842,29.0,0.15,228.45,0.843,30.0,0.154,229.29,0.846,28.0,0.146,228.49,0.779,28.0,0.159
1634146409.0,0,0.0,0.0,0.0,0.0,0.0,391.18,228.75,0.844,28.0,0.15,227.77,0.783,55.0,0.303,228.72,0.846,28.0,0.149,228.04,0.802,49.0,0.262,228.94,0.849,28.0,0.145,228.1,0.802,55.0,0.304
1634146411.0,0,0.0,0.0,0.0,0.0,0.0,391.18,228.75,0.844,28.0,0.15,227.77,0.783,55.0,0.303,228.72,0.846,28.0,0.149,228.04,0.802,49.0,0.262,228.94,0.849,28.0,0.145,228.1,0.802,55.0,0.304
1634146412.0,0,0.0,0.0,0.0,0.0,0.0,403.03,228.75,0.844,28.0,0.15,227.77,0.783,55.0,0.303,228.72,0.846,28.0,0.149,228.04,0.802,49.0,0.262,228.94,0.849,28.0,0.145,228.1,0.802,55.0,0.304
1634146414.0,0,0.0,0.0,0.0,0.0,0.0,391.18,228.75,0.844,28.0,0.15,227.77,0.783,55.0,0.303,228.72,0.846,28.0,0.149,228.04,0.802,49.0,0.262,228.94,0.849,28.0,0.145,228.1,0.802,55.0,0.304
1634146415.0,0,0.0,0.0,0.0,0.0,0.0,0.0,228.75,0.844,28.0,0.15,227.77,0.783,55.0,0.303,228.72,0.846,28.0,0.149,228.04,0.802,49.0,0.262,228.94,0.849,28.0,0.145,228.1,0.802,55.0,0.304
